ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,106587,29.74%,2197
盆提灯,94909,26.48%,5005
その他,39567,11.04%,5475
位牌,20025,5.59%,1358
りん,19126,5.34%,1637
具足・仏具セット,18430,5.14%,1490
骨壷,9465,2.64%,1089
仏像,9220,2.57%,508
仏花,6910,1.93%,1066
掛軸,5943,1.66%,761
経机,5331,1.49%,437
花立,5164,1.44%,973
香炉,3893,1.09%,752
線香立,3303,0.92%,1119
具足,2898,0.81%,389
仏具用お手入れ用品,1259,0.35%,439
香炉灰・香炉石,1185,0.33%,554
香立て,1064,0.30%,223
経本,919,0.26%,431
木魚,868,0.24%,77
骨袋,868,0.24%,299
香道具,834,0.23%,250
線香着火器,488,0.14%,210
水晶玉,147,0.04%,44
