ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,84100,29.24%,9098
こめ油,48490,16.86%,2893
ココナッツオイル,33249,11.56%,2359
亜麻仁油,23628,8.21%,1416
ごま油,22313,7.76%,3066
その他,20138,7.00%,2716
えごま油,11178,3.89%,1280
なたね油・キャノーラ油,11138,3.87%,1412
サラダ油,10798,3.75%,559
セット・詰め合わせ,10555,3.67%,1219
大豆油,4354,1.51%,187
グレープシードオイル,4317,1.50%,220
アボカドオイル,786,0.27%,162
ひまわり油,751,0.26%,172
椿油,502,0.17%,129
トリュフオイル,472,0.16%,176
べに花油,417,0.15%,144
玄米油,253,0.09%,133
ピーナッツオイル,104,0.04%,101
コーン油,78,0.03%,93
マスタードオイル,9,0.00%,91
