ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,31507,48.93%,1992
ハモ,6639,10.31%,613
アユ,4182,6.49%,778
カレイ,3785,5.88%,505
ナマコ,3214,4.99%,173
サメ,1749,2.72%,214
エイ,1502,2.33%,360
ノドグロ,1375,2.14%,222
カンパチ,1140,1.77%,125
ヒラメ,946,1.47%,173
ニシン,928,1.44%,326
クラゲ,858,1.33%,257
サワラ,847,1.32%,134
トビウオ,739,1.15%,176
イワナ,728,1.13%,69
カワハギ,717,1.11%,254
マス,661,1.03%,123
ハタハタ,439,0.68%,69
アカメ・メヒカリ,375,0.58%,77
キス,348,0.54%,123
クエ,317,0.49%,35
コイ,245,0.38%,71
カジキ,219,0.34%,65
アンコウ,213,0.33%,62
タチウオ,183,0.28%,45
イサキ,182,0.28%,25
スズキ,97,0.15%,19
カマス,65,0.10%,38
オコゼ,45,0.07%,14
コチ,43,0.07%,11
サヨリ,39,0.06%,11
カサゴ,28,0.04%,15
ヤマメ,22,0.03%,5
メバル,12,0.02%,5
アラ,7,0.01%,4
