ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,7482,27.64%,1941
山芋・自然薯,6895,25.47%,748
菊芋,3009,11.11%,375
ブロッコリー,2622,9.68%,563
大葉・しそ,1058,3.91%,220
れんこん,984,3.63%,373
ゴーヤー,675,2.49%,165
オクラ,649,2.40%,248
カリフラワー,639,2.36%,122
明日葉,588,2.17%,73
たけのこ,491,1.82%,151
ピーマン,478,1.76%,259
小松菜,429,1.58%,233
セロリ,269,0.99%,76
かぶ,143,0.53%,56
パセリ,141,0.52%,75
行者にんにく,123,0.46%,43
エシャロット,105,0.39%,40
銀杏,78,0.29%,15
パクチー・コリアンダー,70,0.26%,31
春菊,57,0.21%,19
ヤーコン,47,0.17%,10
水菜,33,0.12%,31
ルッコラ,8,0.03%,6
