ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1916644,24.98%,39286
その他,1206916,15.73%,31000
植物性エキス,719990,9.38%,50907
ビタミン,687668,8.96%,40263
ファイトケミカル,591618,7.71%,15236
アミノ酸,583909,7.61%,24607
ミネラル,333826,4.35%,26277
プロバイオティクス,294811,3.84%,12735
コラーゲン,209014,2.72%,11772
脂肪酸・オイル,204176,2.66%,11611
酵素,167983,2.19%,11446
食物繊維,164659,2.15%,7709
プラセンタ,86013,1.12%,4133
ビタミン・ミネラル混合,84777,1.10%,2927
グルコサミン・コンドロイチン,82694,1.08%,4787
動物性エキス,71243,0.93%,4561
クエン酸,52880,0.69%,3657
ラクトフェリン,42543,0.55%,1033
ローヤルゼリー,38126,0.50%,1328
オリゴ糖,37160,0.48%,2554
ヒアルロン酸,25368,0.33%,1655
プロポリス,25367,0.33%,2425
動植物性混合エキス,23180,0.30%,1298
ミドリムシ,17263,0.22%,896
核酸,6228,0.08%,381
