ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,69164,29.16%,8404
こめ油,41060,17.31%,2475
ココナッツオイル,25563,10.78%,2274
ごま油,20789,8.77%,2960
亜麻仁油,17735,7.48%,1418
その他,16923,7.14%,2503
なたね油・キャノーラ油,10115,4.26%,1365
えごま油,9593,4.05%,1257
サラダ油,9528,4.02%,523
セット・詰め合わせ,4527,1.91%,634
大豆油,4373,1.84%,183
グレープシードオイル,4298,1.81%,182
椿油,701,0.30%,138
ひまわり油,656,0.28%,164
トリュフオイル,598,0.25%,162
べに花油,539,0.23%,146
アボカドオイル,538,0.23%,140
コーン油,242,0.10%,96
玄米油,112,0.05%,125
ピーナッツオイル,96,0.04%,128
マスタードオイル,13,0.01%,94
