ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,121069,23.55%,12575
火災警報器・ガス警報器,75190,14.62%,4841
その他,49955,9.72%,4176
防災セット・非常用持ちだし袋,45836,8.91%,2199
簡易トイレ,32556,6.33%,2616
懐中電灯,31077,6.04%,5039
消火器,28209,5.49%,1955
保存水,17798,3.46%,1263
家具転倒防止用品,15013,2.92%,3470
メガホン・拡声器,13221,2.57%,988
携帯用浄水器,12608,2.45%,483
防災ラジオ,10892,2.12%,883
固形燃料,9248,1.80%,863
応急手当用品,8392,1.63%,1201
土嚢,6653,1.29%,400
避難はしご,6107,1.19%,395
携帯トイレ,5568,1.08%,1019
簡易毛布・寝袋,5133,1.00%,1118
防災ヘルメット,4619,0.90%,597
給水用品,4616,0.90%,941
ガソリン缶,2959,0.58%,395
笛・ホイッスル,2036,0.40%,700
担架,1567,0.30%,85
発熱・加熱剤,1151,0.22%,326
防災用ストーブ,1120,0.22%,16
防災頭巾,838,0.16%,236
放射能測定器・ガイガーカウンター,754,0.15%,40
