ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,53091,29.62%,7935
こめ油,27837,15.53%,2351
ココナッツオイル,16968,9.47%,2081
その他,15513,8.66%,2787
ごま油,15383,8.58%,2694
亜麻仁油,10941,6.10%,1229
サラダ油,9445,5.27%,543
えごま油,8121,4.53%,1219
なたね油・キャノーラ油,7500,4.18%,1250
セット・詰め合わせ,6699,3.74%,959
グレープシードオイル,3643,2.03%,251
大豆油,1749,0.98%,137
トリュフオイル,704,0.39%,154
アボカドオイル,444,0.25%,145
椿油,362,0.20%,120
ひまわり油,351,0.20%,142
べに花油,244,0.14%,176
玄米油,163,0.09%,112
コーン油,54,0.03%,93
ピーナッツオイル,15,0.01%,96
マスタードオイル,9,0.00%,98
