ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,22496,11.61%,19829
リボン,20050,10.35%,17908
ひも,18717,9.66%,10100
手芸用テープ,17968,9.28%,10764
ファスナー,16131,8.33%,11321
その他,14240,7.35%,7714
ボタン,12644,6.53%,10582
ミシン糸,10656,5.50%,6346
レース,10384,5.36%,10633
接着テープ・接着芯,8061,4.16%,3651
持ち手・ハンドル,5186,2.68%,2341
ゴム,4769,2.46%,3352
芯地,4405,2.27%,1371
口金,4182,2.16%,2486
ホック,4152,2.14%,2234
型紙・パターン,4042,2.09%,2522
面ファスナー,3398,1.75%,1346
手縫い糸,3231,1.67%,2557
バックル,2431,1.25%,2160
ブレード,1801,0.93%,1794
チェーン,1189,0.61%,813
ネームシール,1140,0.59%,642
裏地,1022,0.53%,517
スパンコール,978,0.50%,1383
肩パット,243,0.13%,135
マラボー,183,0.09%,54
