ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,511212,28.17%,10377
入浴剤,294741,16.24%,25889
バスマット,135647,7.48%,10663
ソープボトル・シャンプーボトル,131004,7.22%,9140
その他,120237,6.63%,10136
整理棚・ラック,107112,5.90%,9656
椅子,89974,4.96%,6347
風呂ふた,83666,4.61%,4892
自動ソープディスペンサー,67936,3.74%,2517
タオルハンガー,63929,3.52%,6557
ボディタオル,35218,1.94%,7615
サウナハット,29917,1.65%,2320
石けんケース・石けん台,28160,1.55%,3872
浴槽・浴室内マット,24975,1.38%,2067
ボディブラシ,19035,1.05%,1777
洗面器・風呂桶,15592,0.86%,2859
バス保温器,12808,0.71%,310
ボディスポンジ,12530,0.69%,2373
セット,12087,0.67%,869
シャワーヘッドホルダー・シャワーフック,8166,0.45%,1492
シャワーカーテン,5485,0.30%,1136
バスピロー,1785,0.10%,340
泡立てネット,1472,0.08%,504
バスブーツ,1031,0.06%,216
軽石,816,0.04%,292
