ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,1453675,23.99%,98906
お茶・紅茶,1411327,23.29%,160386
水・炭酸水,1235024,20.38%,31000
炭酸飲料,727568,12.01%,28938
野菜・果実飲料,577948,9.54%,31000
スポーツドリンク,120598,1.99%,11052
植物性ミルク,113353,1.87%,13058
乳酸菌飲料,100430,1.66%,9206
お酢飲料,77848,1.28%,9379
その他,56237,0.93%,6512
甘酒,54546,0.90%,6846
希釈用ドリンク,36528,0.60%,4500
牛乳,25342,0.42%,2783
ゼリー飲料,23009,0.38%,3349
ココア・チョコレートドリンク,21102,0.35%,3894
スムージー,14592,0.24%,1295
生姜湯,4486,0.07%,913
フルーツ入り乳飲料,4110,0.07%,619
柚子茶,2806,0.05%,276
