ジャンル名,売上指数（千円）,シェア,商品ランク入り数
サバ,408328,20.83%,4658
サケ,268008,13.67%,9545
加工品,196274,10.01%,22004
貝類,151018,7.70%,13938
セット・詰め合わせ,121395,6.19%,9539
エビ,120255,6.13%,6989
魚卵,107169,5.47%,10058
カニ,96721,4.93%,5472
マグロ,92781,4.73%,4736
イカ,91907,4.69%,10945
海藻類,84715,4.32%,11380
その他水産物,46496,2.37%,6319
ウニ,28316,1.44%,1885
ホッケ,24234,1.24%,1023
アジ,20203,1.03%,1613
カツオ,18369,0.94%,1854
タイ,12818,0.65%,1692
その他,12175,0.62%,1714
フグ,11870,0.61%,1318
イワシ,11095,0.57%,2941
タコ,10454,0.53%,1801
ブリ,7718,0.39%,711
タラ,7631,0.39%,1130
シシャモ,3753,0.19%,445
サンマ,3459,0.18%,451
生ちりめん・生しらす,3243,0.17%,645
