ジャンル名,売上指数（千円）,シェア,商品ランク入り数
カニ,6466480,57.02%,28689
魚卵,974705,8.59%,29517
貝類,665980,5.87%,25952
加工品,436811,3.85%,35725
サバ,397529,3.51%,5490
セット・詰め合わせ,362712,3.20%,18013
フグ,357845,3.16%,6973
エビ,348737,3.07%,15613
サケ,333541,2.94%,15280
マグロ,265317,2.34%,9434
イカ,125753,1.11%,14099
ウニ,116044,1.02%,3846
その他水産物,102080,0.90%,11548
ブリ,97665,0.86%,2672
海藻類,81026,0.71%,12435
カツオ,33449,0.29%,2544
アジ,32846,0.29%,1773
タイ,28070,0.25%,3573
タコ,25293,0.22%,3871
その他,24607,0.22%,2814
ホッケ,22116,0.19%,1587
タラ,15709,0.14%,1970
イワシ,10649,0.09%,3216
シシャモ,7307,0.06%,642
サンマ,4804,0.04%,539
生ちりめん・生しらす,4618,0.04%,638
