ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,13907,27.64%,1657
ナマコ,8384,16.66%,364
クエ,4095,8.14%,209
アンコウ,2704,5.37%,308
カレイ,2610,5.19%,487
サメ,1975,3.93%,199
エイ,1897,3.77%,357
カワハギ,1694,3.37%,353
ノドグロ,1492,2.97%,213
ハタハタ,1439,2.86%,227
ニシン,1388,2.76%,414
アユ,1199,2.38%,311
カンパチ,1190,2.37%,122
サワラ,1149,2.28%,130
トビウオ,1136,2.26%,235
ヒラメ,921,1.83%,179
クラゲ,603,1.20%,168
アカメ・メヒカリ,539,1.07%,106
コイ,349,0.69%,101
マス,273,0.54%,65
カジキ,252,0.50%,56
キス,245,0.49%,92
ハモ,238,0.47%,44
タチウオ,208,0.41%,59
イワナ,107,0.21%,11
サヨリ,74,0.15%,18
スズキ,42,0.08%,12
カマス,40,0.08%,22
コチ,38,0.08%,9
カサゴ,31,0.06%,10
イサキ,30,0.06%,10
メバル,25,0.05%,12
アラ,22,0.04%,7
オコゼ,10,0.02%,4
アイナメ,8,0.02%,2
ヤマメ,4,0.01%,2
