ジャンル名,売上指数（千円）,シェア,商品ランク入り数
焼き海苔,112703,55.87%,7027
味付け海苔,47818,23.70%,5015
韓国海苔,11669,5.78%,1872
セット・詰め合わせ,9667,4.79%,1372
その他,8622,4.27%,1916
青海苔,6059,3.00%,920
きざみ海苔・もみ海苔,5198,2.58%,991
