ジャンル名,売上指数（千円）,シェア,商品ランク入り数
桃,273976,19.80%,11906
ブドウ,188411,13.62%,8033
メロン,169896,12.28%,8357
マンゴー,109000,7.88%,4372
セット・詰め合わせ,89309,6.45%,4500
スイカ,87718,6.34%,5556
みかん,80538,5.82%,4933
さくらんぼ,77860,5.63%,2422
和梨,65638,4.74%,3708
りんご,32299,2.33%,2353
レモン,26198,1.89%,2237
その他,25001,1.81%,3039
梅,24067,1.74%,1781
ブルーベリー,21691,1.57%,1522
パイナップル,16455,1.19%,1409
ライチ,10560,0.76%,571
ザクロ,10456,0.76%,389
いちご,10453,0.76%,1322
プラム,10385,0.75%,930
柿,6232,0.45%,684
オレンジ,4919,0.36%,577
栗,4802,0.35%,521
あんず,4702,0.34%,362
すだち,4400,0.32%,406
キウイフルーツ,4273,0.31%,572
パッションフルーツ,4089,0.30%,327
イチジク,3452,0.25%,393
バナナ,3061,0.22%,532
洋梨,2810,0.20%,245
グレープフルーツ,2594,0.19%,375
ドラゴンフルーツ,1978,0.14%,214
ドリアン,1448,0.10%,145
びわ,1328,0.10%,172
パパイヤ,1259,0.09%,224
アボカド,1194,0.09%,262
ゆず,739,0.05%,175
じゃばら,306,0.02%,120
かぼす,255,0.02%,110
ミラクルフルーツ,51,0.00%,76
マンゴスチン,0,0.00%,75
