ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,83740,40.52%,1835
その他,22852,11.06%,3475
位牌,21557,10.43%,1347
りん,15742,7.62%,1309
具足・仏具セット,12979,6.28%,1104
仏像,11964,5.79%,417
骨壷,10520,5.09%,1272
掛軸,4270,2.07%,623
経机,3081,1.49%,303
香炉,2929,1.42%,604
盆提灯,2701,1.31%,314
仏花,2491,1.21%,505
花立,2141,1.04%,440
線香立,2065,1.00%,784
具足,1403,0.68%,209
仏具用お手入れ用品,1092,0.53%,345
骨袋,1036,0.50%,324
香炉灰・香炉石,965,0.47%,485
経本,908,0.44%,424
香道具,828,0.40%,240
木魚,581,0.28%,60
香立て,444,0.21%,162
線香着火器,266,0.13%,160
水晶玉,114,0.06%,38
