ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,87119,30.18%,9332
こめ油,50676,17.55%,3307
ココナッツオイル,26114,9.05%,2028
ごま油,22338,7.74%,3097
セット・詰め合わせ,20435,7.08%,2232
亜麻仁油,20024,6.94%,1309
その他,19222,6.66%,2649
なたね油・キャノーラ油,10585,3.67%,1349
えごま油,8930,3.09%,1164
サラダ油,8897,3.08%,583
大豆油,6013,2.08%,189
グレープシードオイル,3884,1.35%,193
トリュフオイル,1355,0.47%,218
椿油,840,0.29%,101
ひまわり油,715,0.25%,116
アボカドオイル,633,0.22%,99
べに花油,616,0.21%,79
ピーナッツオイル,134,0.05%,27
玄米油,123,0.04%,16
コーン油,24,0.01%,11
マスタードオイル,3,0.00%,1
