ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,170913,28.50%,30955
その他,137477,22.92%,16306
モップ,46532,7.76%,5317
フロアワイパー・ダスター本体,36088,6.02%,4158
フローリングワックス,33162,5.53%,2376
ほうき,26794,4.47%,4261
雑巾・テーブルダスター,25655,4.28%,4675
ガラス・サッシ掃除用具,25021,4.17%,3711
粘着式クリーナー,19658,3.28%,3600
フロアワイパー・ダスター取替シート,17414,2.90%,3061
バケツ,14936,2.49%,2521
はたき,13073,2.18%,1265
使い捨てクロス,12623,2.10%,2208
トイレポット,9702,1.62%,1068
スプレーボトル,4341,0.72%,1161
ちりとり,3464,0.58%,738
ラバーカップ,1870,0.31%,343
モップ絞り器,1020,0.17%,117
