ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,418869,26.67%,138769
手帳・ノート・紙製品,207269,13.19%,103613
画材,148075,9.43%,31876
ギフトラッピング用品,95528,6.08%,58868
ファイル・バインダー,87546,5.57%,32657
その他,80473,5.12%,21324
机上収納・整理用品,75535,4.81%,17151
ラベル・ステッカー,71999,4.58%,34984
書道用具,70204,4.47%,13252
プレゼンテーション用品,67438,4.29%,9620
写真整理用品,63031,4.01%,13368
はさみ・裁断用品,38433,2.45%,10655
セロハンテープ・のり・接着剤,36210,2.31%,15371
ブックカバー,22503,1.43%,6181
製図用品,14899,0.95%,6645
クリップ・結束用具,13779,0.88%,8271
名札,11829,0.75%,4948
ホッチキス・穴あきパンチ,9974,0.63%,4178
マグネット,8554,0.54%,4106
マグネットシート,7526,0.48%,1498
紙幣計数機・コインカウンタ,6306,0.40%,352
画鋲・ピン,3432,0.22%,1558
製本機,2632,0.17%,941
ブックマーク・しおり,2205,0.14%,1335
チェックライター・ナンバーリング,2065,0.13%,248
下敷き,1764,0.11%,1464
紙めくり・事務用スポンジ,1737,0.11%,1376
タスキ・腕章,651,0.04%,231
レタースケール,360,0.02%,125
事務用品(1703削除),17,0.00%,0
