ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,78163,16.22%,14962
にんにく,66446,13.79%,5772
とうもろこし,36791,7.63%,2729
サツマイモ,34110,7.08%,3577
アスパラガス,31231,6.48%,2393
たまねぎ,30249,6.28%,3586
その他野菜,28820,5.98%,6444
トマト,26610,5.52%,3106
セット・詰め合わせ,20712,4.30%,2140
ジャガイモ,17869,3.71%,2527
きのこ,17118,3.55%,3769
らっきょう,15205,3.16%,1450
生姜,13490,2.80%,1909
山菜,12469,2.59%,1961
にんじん,10925,2.27%,1352
その他,10560,2.19%,1927
カット野菜,10198,2.12%,1445
ねぎ,4823,1.00%,969
かぼちゃ,3317,0.69%,597
ごぼう,2424,0.50%,688
水煮野菜,1954,0.41%,332
ほうれん草,1860,0.39%,542
キャベツ,1421,0.29%,494
ナス,1402,0.29%,443
大根,1231,0.26%,516
キュウリ,965,0.20%,295
里芋,646,0.13%,222
レタス,440,0.09%,222
白菜,263,0.05%,151
ニラ,212,0.04%,63
