ジャンル名,売上指数（千円）,シェア,商品ランク入り数
濃口しょうゆ,28312,33.27%,7215
その他,19142,22.50%,4126
刺身しょうゆ・だししょうゆ,15700,18.45%,3953
セット・詰め合わせ,8689,10.21%,1521
薄口しょうゆ,3510,4.12%,1289
再仕込みしょうゆ,3455,4.06%,660
減塩しょうゆ,3109,3.65%,977
たまりじょうゆ,2594,3.05%,610
白しょうゆ,579,0.68%,177
