ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ネーム印・浸透印,107172,32.00%,17412
スタンプ,79424,23.71%,26328
実印・代表印,45501,13.59%,5318
ケース付印鑑セット,40071,11.96%,5255
認印,15982,4.77%,3310
印鑑ケース,12130,3.62%,4622
朱肉・スタンプ台,10852,3.24%,4105
その他,10662,3.18%,4411
銀行印,9032,2.70%,1555
角印,4106,1.23%,1045
