ジャンル名,売上指数（千円）,シェア,商品ランク入り数
油,197764,16.02%,28245
だし,161812,13.11%,21134
しお,101943,8.26%,18052
酢,81244,6.58%,11316
ソース・たれ,80753,6.54%,22041
砂糖・甘味料,75506,6.12%,13509
しょうゆ,75039,6.08%,20027
スパイス,65181,5.28%,23747
セット・詰め合わせ,58772,4.76%,4066
その他,40224,3.26%,8761
みそ,39757,3.22%,13397
ふりかけ,37227,3.02%,11863
ドレッシング,35521,2.88%,10478
めんつゆ,31822,2.58%,8107
料理の素,19959,1.62%,4454
ミックススパイス・混合調味料,19016,1.54%,6413
中華調味料,17354,1.41%,6743
ポン酢,15958,1.29%,4728
みりん,13475,1.09%,2542
麹,13140,1.06%,2448
アジアン・エスニック調味料,8374,0.68%,2656
マヨネーズ,7723,0.63%,2511
韓国調味料,6517,0.53%,3209
ケチャップ,4761,0.39%,1960
酒粕,4553,0.37%,0
ハーブ,4444,0.36%,3007
わさび,4089,0.33%,1552
料理酒,3952,0.32%,132
からし・マスタード,3080,0.25%,1716
ラーメンスープ,2430,0.20%,1146
ラード,1762,0.14%,183
生わさび,1323,0.11%,414
炊き込みご飯の素(1409削除),0,0.00%,2737
発酵調味料(1409削除),0,0.00%,958
