ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,84882,29.25%,10283
こめ油,49717,17.13%,3114
ココナッツオイル,26554,9.15%,2284
セット・詰め合わせ,23021,7.93%,2579
その他,21590,7.44%,3155
ごま油,20050,6.91%,3149
サラダ油,15661,5.40%,735
亜麻仁油,13932,4.80%,1359
えごま油,11365,3.92%,1449
なたね油・キャノーラ油,11256,3.88%,1497
グレープシードオイル,4068,1.40%,185
大豆油,3461,1.19%,175
アボカドオイル,1447,0.50%,178
椿油,1045,0.36%,151
トリュフオイル,778,0.27%,181
べに花油,451,0.16%,153
ひまわり油,323,0.11%,185
コーン油,268,0.09%,97
玄米油,261,0.09%,125
ピーナッツオイル,96,0.03%,98
マスタードオイル,11,0.00%,94
