ジャンル名,売上指数（千円）,シェア,商品ランク入り数
除湿シート,51560,30.75%,2315
いびき関連グッズ,46598,27.79%,4857
アイピロー,35054,20.90%,1505
その他,21388,12.75%,1923
湯たんぽ,3830,2.28%,847
敷布団,2903,1.73%,119
肩当て,1611,0.96%,179
就寝用腹巻,1443,0.86%,149
低反発グッズ,1368,0.82%,140
冷え対策ソックス,1310,0.78%,247
掛け布団,616,0.37%,108
ベッド,8,0.00%,90
