ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,107393,21.84%,13126
ブルーベリー,52022,10.58%,3478
マカ,44603,9.07%,0
サラシア,40590,8.25%,1606
フォルスコリ,39314,7.99%,814
キノコ・マッシュルーム,32528,6.61%,1
ウコン,28085,5.71%,0
スピルリナ,24353,4.95%,1258
ノコギリヤシ,16278,3.31%,0
田七人参,15798,3.21%,922
フコイダン,13526,2.75%,325
高麗人参,12053,2.45%,704
イチョウ葉,11605,2.36%,0
クロレラ,11399,2.32%,1079
梅肉,8417,1.71%,0
チアシード,5118,1.04%,0
プエラリア,4369,0.89%,644
セントジョーンズワート,3656,0.74%,657
アサイー,3191,0.65%,0
トンカットアリ,3019,0.61%,495
ニンニク,2408,0.49%,310
ビーポーレン,1739,0.35%,202
カプサイシン,1714,0.35%,278
ゴジベリー,1618,0.33%,177
マキベリー,1465,0.30%,0
エキナセア,1431,0.29%,0
黒豆,1388,0.28%,115
じゃばら,1014,0.21%,190
ガラナ,814,0.17%,0
カカオ,522,0.11%,0
バジルシード,226,0.05%,0
メシマコブ茸,72,0.01%,95
カムカム,57,0.01%,115
