ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1189913,23.33%,35198
その他,948848,18.60%,28000
植物性エキス,464325,9.10%,41581
ビタミン,398561,7.81%,33127
ファイトケミカル,375307,7.36%,12013
アミノ酸,361529,7.09%,20590
プロバイオティクス,216014,4.23%,10293
ミネラル,186438,3.65%,19834
脂肪酸・オイル,152661,2.99%,9437
酵素,144532,2.83%,10290
コラーゲン,138067,2.71%,10036
プラセンタ,115507,2.26%,3782
食物繊維,82105,1.61%,6247
グルコサミン・コンドロイチン,66754,1.31%,4094
ビタミン・ミネラル混合,58620,1.15%,2149
動物性エキス,42965,0.84%,4068
クエン酸,32873,0.64%,2768
オリゴ糖,27276,0.53%,2060
ラクトフェリン,21892,0.43%,857
プロポリス,17929,0.35%,2030
ローヤルゼリー,16319,0.32%,1062
ヒアルロン酸,16230,0.32%,1261
ミドリムシ,12878,0.25%,831
動植物性混合エキス,10293,0.20%,1115
核酸,3431,0.07%,292
