ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,1600021,25.67%,100109
お茶・紅茶,1593582,25.56%,166112
水・炭酸水,1294429,20.76%,31000
野菜・果実飲料,573574,9.20%,30986
炭酸飲料,566487,9.09%,28584
乳酸菌飲料,102556,1.65%,8915
スポーツドリンク,98900,1.59%,9907
植物性ミルク,97841,1.57%,11945
お酢飲料,74134,1.19%,8126
甘酒,61582,0.99%,7568
その他,52487,0.84%,5364
希釈用ドリンク,31107,0.50%,4049
ゼリー飲料,20983,0.34%,3112
ココア・チョコレートドリンク,20532,0.33%,4188
牛乳,17494,0.28%,2418
スムージー,15182,0.24%,1227
生姜湯,5549,0.09%,1234
フルーツ入り乳飲料,3956,0.06%,537
柚子茶,3313,0.05%,418
