ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,189253,28.13%,16979
防災セット・非常用持ちだし袋,127198,18.90%,3285
簡易トイレ,65596,9.75%,0
その他,52486,7.80%,4633
火災警報器・ガス警報器,33946,5.04%,2849
携帯用浄水器,28348,4.21%,936
保存水,25480,3.79%,1727
家具転倒防止用品,24814,3.69%,4899
消火器,22228,3.30%,1717
懐中電灯,18801,2.79%,4117
防災ラジオ,15642,2.32%,1275
携帯トイレ,9570,1.42%,0
給水用品,9178,1.36%,1450
メガホン・拡声器,8935,1.33%,863
応急手当用品,8697,1.29%,1141
避難はしご,6725,1.00%,390
防災ヘルメット,6292,0.94%,0
簡易毛布・寝袋,4839,0.72%,1113
土嚢,4544,0.68%,429
ガソリン缶,2329,0.35%,331
固形燃料,1880,0.28%,449
笛・ホイッスル,1669,0.25%,674
発熱・加熱剤,1106,0.16%,376
担架,1097,0.16%,0
防災頭巾,963,0.14%,0
放射能測定器・ガイガーカウンター,752,0.11%,138
防災用ストーブ,512,0.08%,104
保護マスク(2106削除),0,0.00%,6775
保護用品(1703削除),0,0.00%,1016
携帯・簡易トイレ(1703削除),0,0.00%,4579
災害救助用品(1703削除),0,0.00%,143
