ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,1584590,21.90%,31000
プロテイン,1369662,18.93%,36275
ビタミン,682471,9.43%,40197
植物性エキス,657093,9.08%,47867
ファイトケミカル,526452,7.28%,14857
アミノ酸,450037,6.22%,22713
ミネラル,345888,4.78%,26426
プロバイオティクス,301216,4.16%,12891
コラーゲン,197662,2.73%,11480
脂肪酸・オイル,194108,2.68%,10556
酵素,159051,2.20%,10778
食物繊維,152299,2.11%,8370
ビタミン・ミネラル混合,129056,1.78%,3468
グルコサミン・コンドロイチン,82654,1.14%,4193
動物性エキス,76769,1.06%,4586
プラセンタ,70638,0.98%,3609
ラクトフェリン,43547,0.60%,1059
ヒアルロン酸,40111,0.55%,1561
クエン酸,36010,0.50%,3326
プロポリス,32099,0.44%,2594
ローヤルゼリー,30982,0.43%,1330
オリゴ糖,25242,0.35%,2596
動植物性混合エキス,22812,0.32%,1276
ミドリムシ,18808,0.26%,800
核酸,5227,0.07%,349
