ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,86452,31.57%,7425
こめ油,47715,17.42%,3234
ココナッツオイル,31831,11.62%,2198
亜麻仁油,24912,9.10%,1544
ごま油,23625,8.63%,3104
その他,16057,5.86%,2572
なたね油・キャノーラ油,13005,4.75%,1448
えごま油,8696,3.17%,1006
サラダ油,6383,2.33%,511
グレープシードオイル,4483,1.64%,214
セット・詰め合わせ,3843,1.40%,641
大豆油,3001,1.10%,178
ひまわり油,971,0.35%,160
アボカドオイル,874,0.32%,126
トリュフオイル,659,0.24%,122
べに花油,575,0.21%,78
玄米油,456,0.17%,73
ピーナッツオイル,204,0.07%,18
椿油,101,0.04%,24
コーン油,25,0.01%,9
マスタードオイル,18,0.01%,6
