ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,1564965,23.81%,100697
お茶・紅茶,1469452,22.36%,88839
水・炭酸水,1137507,17.31%,30000
炭酸飲料,856601,13.03%,0
野菜・果実飲料,683223,10.40%,0
スポーツドリンク,245814,3.74%,18420
お酢飲料,149687,2.28%,0
その他,114739,1.75%,11075
乳酸菌飲料,97103,1.48%,0
植物性ミルク,87219,1.33%,3197
甘酒,52480,0.80%,6927
希釈用ドリンク,34846,0.53%,4950
ゼリー飲料,30915,0.47%,4445
牛乳,18074,0.27%,0
スムージー,11022,0.17%,1132
ココア・チョコレートドリンク,9839,0.15%,0
フルーツ入り乳飲料,3366,0.05%,388
生姜湯,3223,0.05%,392
柚子茶,2434,0.04%,188
ウォーターサーバー(2202削除),0,0.00%,1253
ソフトドリンク(1703削除),0,0.00%,92631
ハーブティー(1703削除),0,0.00%,17660
中国茶(1703削除),0,0.00%,7156
日本茶(1703削除),0,0.00%,26974
紅茶(1703削除),0,0.00%,18118
