ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,105220,46.65%,2200
その他,21689,9.62%,3574
位牌,19982,8.86%,1358
具足・仏具セット,14195,6.29%,1180
りん,11948,5.30%,1348
骨壷,10817,4.80%,1294
仏像,8487,3.76%,497
盆提灯,7374,3.27%,673
掛軸,4167,1.85%,648
香炉,3288,1.46%,684
経机,3169,1.40%,281
仏花,2727,1.21%,531
花立,2432,1.08%,523
線香立,1975,0.88%,777
具足,1610,0.71%,257
経本,995,0.44%,408
香道具,932,0.41%,279
香炉灰・香炉石,894,0.40%,470
香立て,887,0.39%,152
骨袋,886,0.39%,307
仏具用お手入れ用品,689,0.31%,311
木魚,602,0.27%,120
線香着火器,401,0.18%,200
水晶玉,179,0.08%,170
