ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,151802,27.57%,28679
その他,135127,24.54%,15725
モップ,69780,12.67%,5323
雑巾・テーブルダスター,30213,5.49%,5472
ほうき,28768,5.22%,4236
フローリングワックス,26643,4.84%,2712
ガラス・サッシ掃除用具,24268,4.41%,3804
フロアワイパー・ダスター本体,14481,2.63%,3614
粘着式クリーナー,13870,2.52%,3234
使い捨てクロス,13394,2.43%,2164
フロアワイパー・ダスター取替シート,13189,2.40%,2643
バケツ,11244,2.04%,2662
トイレポット,7193,1.31%,1037
はたき,3754,0.68%,868
スプレーボトル,2712,0.49%,1014
ちりとり,2401,0.44%,810
モップ絞り器,908,0.16%,163
ラバーカップ,882,0.16%,151
