ジャンル名,売上指数（千円）,シェア,商品ランク入り数
生地・布,250917,22.77%,31000
道具・キット,228192,20.71%,28361
裁縫材料,191068,17.34%,136693
アクセサリークラフト材料,117247,10.64%,30884
毛糸,74389,6.75%,19718
その他,60736,5.51%,24367
レザークラフト材料,43243,3.92%,19918
ビーズ・ストーン,40024,3.63%,29856
レジン液,37722,3.42%,4244
はぎれ・カットクロス,18151,1.65%,7484
陶芸,11695,1.06%,0
刺繍材料,8685,0.79%,5882
着色剤,7857,0.71%,2542
フェルト,4120,0.37%,0
手芸材料セット,2785,0.25%,922
編機・織機,2428,0.22%,670
パッチワーク・キルティング材料,2114,0.19%,1767
タイル,598,0.05%,291
アクセサリークラフトキット(1703削除),0,0.00%,65706
ビーズクラフト道具(1703削除),0,0.00%,6294
レジンアクセサリークラフト道具(2002削除),0,0.00%,16313
刺繍道具(1703削除),0,0.00%,2168
編物道具(1703削除),0,0.00%,7203
裁縫道具(1703削除),0,0.00%,31595
