ジャンル名,売上指数（千円）,シェア,商品ランク入り数
大豆イソフラボン,293509,64.43%,4677
ルテイン,102130,22.42%,5958
アスタキサンチン,25174,5.53%,1421
ポリフェノール,23533,5.17%,1443
マルチファイトケミカル,4949,1.09%,216
カテキン,4510,0.99%,419
その他,1730,0.38%,190
