ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,1616753,25.37%,168080
コーヒー,1610000,25.27%,102784
水・炭酸水,1134073,17.80%,31000
炭酸飲料,700410,10.99%,29679
野菜・果実飲料,648755,10.18%,31000
乳酸菌飲料,103339,1.62%,8634
スポーツドリンク,102793,1.61%,9382
その他,97293,1.53%,10709
お酢飲料,91453,1.44%,9420
植物性ミルク,88717,1.39%,10882
甘酒,60606,0.95%,7639
希釈用ドリンク,41287,0.65%,3528
ゼリー飲料,19177,0.30%,3331
牛乳,18716,0.29%,2645
ココア・チョコレートドリンク,17838,0.28%,4219
スムージー,10342,0.16%,986
生姜湯,5029,0.08%,1099
フルーツ入り乳飲料,3271,0.05%,497
柚子茶,2403,0.04%,270
