ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,73503,26.45%,8866
こめ油,52262,18.81%,2823
ココナッツオイル,32783,11.80%,2564
ごま油,22545,8.11%,3141
その他,21010,7.56%,2853
亜麻仁油,19011,6.84%,1504
サラダ油,13429,4.83%,602
なたね油・キャノーラ油,11763,4.23%,1522
えごま油,11446,4.12%,1447
大豆油,6704,2.41%,213
グレープシードオイル,5183,1.86%,213
セット・詰め合わせ,4208,1.51%,629
アボカドオイル,935,0.34%,178
椿油,860,0.31%,139
ひまわり油,731,0.26%,191
トリュフオイル,517,0.19%,140
べに花油,380,0.14%,171
玄米油,236,0.08%,170
コーン油,234,0.08%,105
ピーナッツオイル,137,0.05%,104
マスタードオイル,25,0.01%,98
