ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,45129,19.91%,27082
リボン,21902,9.66%,18755
その他,18773,8.28%,9748
手芸用テープ,18301,8.07%,13246
ひも,18005,7.94%,10786
ファスナー,14589,6.44%,9420
ミシン糸,13028,5.75%,7419
ボタン,12764,5.63%,12259
レース,10201,4.50%,10630
接着テープ・接着芯,8118,3.58%,3728
ネームシール,5915,2.61%,2106
持ち手・ハンドル,5110,2.25%,2264
ホック,4809,2.12%,2583
ゴム,4601,2.03%,3394
口金,4558,2.01%,2552
芯地,3816,1.68%,1322
面ファスナー,3507,1.55%,1355
手縫い糸,3259,1.44%,3122
型紙・パターン,2382,1.05%,1818
ブレード,2338,1.03%,1796
バックル,2233,0.99%,2112
チェーン,1200,0.53%,922
スパンコール,999,0.44%,1377
裏地,676,0.30%,377
マラボー,313,0.14%,136
肩パット,137,0.06%,169
