ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,11414,54.74%,3251
辣油・ラー油,7500,35.97%,2062
豆板醤・トウバンジャン,1007,4.83%,498
甜麺醤・テンメンジャン,513,2.46%,256
辣醤・ラァジャン,418,2.00%,235
