ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,163793,28.32%,13360
マカ,52372,9.05%,4490
キノコ・マッシュルーム,44559,7.70%,1996
ウコン,43795,7.57%,4579
ブルーベリー,29865,5.16%,3472
サラシア,29748,5.14%,1541
スピルリナ,25064,4.33%,1188
高麗人参,24024,4.15%,1146
フコイダン,22840,3.95%,540
ノコギリヤシ,21126,3.65%,1594
イチョウ葉,19350,3.35%,1884
クロレラ,18978,3.28%,1149
田七人参,14149,2.45%,774
梅肉,11835,2.05%,1166
トンカットアリ,10372,1.79%,756
ニンニク,7580,1.31%,833
チアシード,7205,1.25%,642
フォルスコリ,5070,0.88%,600
アサイー,4992,0.86%,504
プエラリア,4288,0.74%,500
マキベリー,2935,0.51%,273
セントジョーンズワート,2735,0.47%,668
カプサイシン,2438,0.42%,302
ゴジベリー,2204,0.38%,278
黒豆,1599,0.28%,101
エキナセア,1274,0.22%,290
ビーポーレン,1173,0.20%,139
じゃばら,1044,0.18%,201
ガラナ,923,0.16%,104
メシマコブ茸,566,0.10%,17
カムカム,310,0.05%,50
カカオ,165,0.03%,44
バジルシード,89,0.02%,20
