ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,72262,16.80%,14658
にんにく,62456,14.52%,5855
サツマイモ,54108,12.58%,5738
生姜,30776,7.15%,1814
たまねぎ,30541,7.10%,3214
その他野菜,29891,6.95%,6443
ジャガイモ,27607,6.42%,3303
セット・詰め合わせ,21071,4.90%,2524
トマト,19488,4.53%,2628
きのこ,16971,3.95%,3737
カット野菜,12447,2.89%,1550
にんじん,10980,2.55%,1566
山菜,5902,1.37%,1081
その他,5623,1.31%,1539
ねぎ,4772,1.11%,1144
アスパラガス,4696,1.09%,616
とうもろこし,3337,0.78%,798
ごぼう,2909,0.68%,797
かぼちゃ,2490,0.58%,530
ほうれん草,2167,0.50%,630
キャベツ,2120,0.49%,682
らっきょう,1672,0.39%,299
水煮野菜,1605,0.37%,313
里芋,1194,0.28%,338
大根,1091,0.25%,512
ナス,488,0.11%,244
レタス,485,0.11%,223
キュウリ,455,0.11%,154
白菜,426,0.10%,229
ニラ,135,0.03%,68
