ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,8730,19.22%,1441
ナマコ,6776,14.92%,452
クエ,5242,11.54%,248
アンコウ,3096,6.82%,411
エイ,2380,5.24%,485
サメ,2197,4.84%,247
ノドグロ,2034,4.48%,237
カレイ,1691,3.72%,525
ニシン,1622,3.57%,509
カンパチ,1583,3.49%,175
カワハギ,1550,3.41%,400
ハタハタ,1352,2.98%,287
ヒラメ,1316,2.90%,175
アユ,1278,2.81%,374
サワラ,911,2.01%,162
トビウオ,861,1.90%,279
クラゲ,554,1.22%,195
ハモ,358,0.79%,155
アカメ・メヒカリ,337,0.74%,127
キス,293,0.64%,153
コイ,285,0.63%,141
カジキ,248,0.55%,118
マス,184,0.41%,111
イワナ,174,0.38%,118
タチウオ,135,0.30%,174
サヨリ,78,0.17%,112
カマス,43,0.09%,128
メバル,40,0.09%,103
スズキ,38,0.08%,98
コチ,10,0.02%,98
オコゼ,9,0.02%,97
アラ,7,0.02%,4
カサゴ,5,0.01%,126
イサキ,2,0.00%,94
アイナメ,0,0.00%,124
ヤマメ,0,0.00%,93
