ジャンル名,売上指数（千円）,シェア,商品ランク入り数
加工品,152150,13.36%,21157
貝類,150881,13.25%,14558
セット・詰め合わせ,134574,11.81%,10214
魚卵,112743,9.90%,11360
カニ,102725,9.02%,5718
エビ,69371,6.09%,6356
イカ,69328,6.09%,9017
マグロ,61161,5.37%,4882
サケ,58718,5.15%,7230
ウニ,38406,3.37%,2751
海藻類,37432,3.29%,8597
その他水産物,36726,3.22%,8599
サバ,25029,2.20%,3597
カツオ,18331,1.61%,1794
タイ,12322,1.08%,1535
フグ,9858,0.87%,1235
その他,9213,0.81%,1513
タコ,7462,0.66%,1608
イワシ,6635,0.58%,2120
ブリ,5033,0.44%,472
サンマ,4896,0.43%,651
アジ,4367,0.38%,1215
タラ,4219,0.37%,945
ホッケ,4215,0.37%,831
生ちりめん・生しらす,2388,0.21%,582
シシャモ,951,0.08%,295
