ジャンル名,売上指数（千円）,シェア,商品ランク入り数
突っ張り棒,10299,48.30%,1499
耐震用接着マット・ストッパー,7076,33.18%,1606
壁面固定器具,2259,10.60%,357
その他,1690,7.92%,540
