ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,27787,12.34%,23665
リボン,24839,11.03%,21244
ひも,20651,9.17%,11794
手芸用テープ,19645,8.72%,13922
その他,17279,7.67%,8440
ファスナー,16280,7.23%,11505
ボタン,15227,6.76%,13405
レース,12803,5.68%,12846
ミシン糸,12648,5.62%,7603
接着テープ・接着芯,9609,4.27%,4282
持ち手・ハンドル,5955,2.64%,2380
芯地,5502,2.44%,1642
ゴム,5419,2.41%,3769
口金,5364,2.38%,2895
ホック,4698,2.09%,2608
型紙・パターン,4026,1.79%,2523
面ファスナー,3651,1.62%,1338
手縫い糸,3070,1.36%,3095
ブレード,2768,1.23%,2327
バックル,2542,1.13%,2382
ネームシール,1508,0.67%,798
スパンコール,1243,0.55%,1709
チェーン,1067,0.47%,996
裏地,1061,0.47%,663
マラボー,317,0.14%,129
肩パット,282,0.13%,130
