ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,33859,15.18%,27502
リボン,22956,10.29%,20653
手芸用テープ,18798,8.43%,13206
ひも,18209,8.17%,10332
その他,16798,7.53%,8767
ファスナー,16394,7.35%,10842
ボタン,13849,6.21%,12920
ミシン糸,12401,5.56%,7318
レース,12097,5.42%,13163
接着テープ・接着芯,9635,4.32%,4367
持ち手・ハンドル,5854,2.63%,2297
口金,5706,2.56%,2846
ホック,5185,2.33%,2617
芯地,4886,2.19%,1533
ゴム,4668,2.09%,3707
面ファスナー,3888,1.74%,1394
型紙・パターン,3623,1.62%,2718
手縫い糸,3199,1.43%,2875
バックル,2783,1.25%,2407
ブレード,2368,1.06%,2011
ネームシール,1845,0.83%,1064
チェーン,1412,0.63%,1056
裏地,1071,0.48%,608
スパンコール,1037,0.47%,1510
マラボー,316,0.14%,168
肩パット,162,0.07%,203
