ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,18845,39.29%,1709
ナマコ,6016,12.54%,248
カンパチ,2631,5.48%,234
エイ,2190,4.57%,392
ノドグロ,2181,4.55%,297
サメ,2178,4.54%,163
アユ,2157,4.50%,544
カレイ,1634,3.41%,488
ハモ,1369,2.85%,202
サワラ,969,2.02%,164
ニシン,915,1.91%,341
カワハギ,859,1.79%,293
トビウオ,832,1.74%,233
ヒラメ,726,1.51%,157
クラゲ,636,1.33%,224
クエ,602,1.25%,147
イワナ,432,0.90%,125
キス,378,0.79%,168
アカメ・メヒカリ,334,0.70%,126
ハタハタ,334,0.70%,163
アンコウ,332,0.69%,152
マス,313,0.65%,147
コイ,306,0.64%,132
カジキ,213,0.44%,155
タチウオ,135,0.28%,132
イサキ,74,0.15%,103
カマス,57,0.12%,120
コチ,53,0.11%,126
サヨリ,53,0.11%,128
アイナメ,50,0.10%,95
メバル,48,0.10%,103
オコゼ,41,0.08%,102
スズキ,38,0.08%,97
カサゴ,14,0.03%,97
ヤマメ,14,0.03%,101
アラ,3,0.01%,2
