ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,13194,27.78%,1554
ナマコ,5977,12.58%,431
クエ,3859,8.12%,184
カレイ,3508,7.38%,565
アンコウ,2688,5.66%,323
エイ,1858,3.91%,412
ニシン,1673,3.52%,482
ハタハタ,1611,3.39%,248
サメ,1589,3.34%,224
カワハギ,1543,3.25%,353
サワラ,1360,2.86%,140
カンパチ,1009,2.12%,86
トビウオ,954,2.01%,239
ヒラメ,886,1.87%,179
クラゲ,835,1.76%,222
ノドグロ,835,1.76%,164
アユ,702,1.48%,194
カジキ,682,1.43%,72
アカメ・メヒカリ,605,1.27%,98
マス,416,0.88%,83
コイ,348,0.73%,96
イワナ,326,0.69%,28
ハモ,302,0.64%,39
キス,290,0.61%,101
タチウオ,166,0.35%,42
カサゴ,77,0.16%,20
カマス,46,0.10%,27
サヨリ,44,0.09%,12
スズキ,36,0.08%,6
アラ,18,0.04%,8
イサキ,15,0.03%,7
オコゼ,15,0.03%,7
アイナメ,12,0.02%,2
ヤマメ,10,0.02%,4
メバル,8,0.02%,4
コチ,3,0.01%,2
