ジャンル名,売上指数（千円）,シェア,商品ランク入り数
油,367297,18.65%,28138
だし,357074,18.13%,29042
砂糖・甘味料,134325,6.82%,16494
しお,122962,6.24%,18923
ソース・たれ,103723,5.27%,24039
しょうゆ,99454,5.05%,22028
スパイス,95984,4.87%,26943
酢,80396,4.08%,10247
みそ,76188,3.87%,17679
ふりかけ,74232,3.77%,15010
セット・詰め合わせ,61618,3.13%,3369
その他,51356,2.61%,9357
麹,48109,2.44%,4455
料理の素,41165,2.09%,10970
ドレッシング,33795,1.72%,10102
みりん,31911,1.62%,3122
めんつゆ,29310,1.49%,6704
中華調味料,22317,1.13%,6146
ミックススパイス・混合調味料,22174,1.13%,6075
ポン酢,20709,1.05%,4853
酒粕,13866,0.70%,1858
マヨネーズ,12423,0.63%,2875
アジアン・エスニック調味料,11479,0.58%,2617
韓国調味料,10156,0.52%,3409
料理酒,9726,0.49%,1099
ハーブ,9179,0.47%,3654
ケチャップ,8599,0.44%,2116
わさび,5765,0.29%,1668
ラーメンスープ,5476,0.28%,1698
からし・マスタード,3951,0.20%,1723
ラード,2861,0.15%,258
生わさび,2202,0.11%,411
