ジャンル名,売上指数（千円）,シェア,商品ランク入り数
みかん,354810,32.31%,15901
りんご,210492,19.17%,12902
ブドウ,120266,10.95%,6565
柿,118252,10.77%,8695
栗,50685,4.62%,3146
セット・詰め合わせ,45192,4.12%,2986
和梨,41312,3.76%,2871
洋梨,25611,2.33%,2155
その他,20844,1.90%,3117
ブルーベリー,20331,1.85%,1315
レモン,15204,1.38%,2404
メロン,11613,1.06%,951
いちご,8571,0.78%,1224
ザクロ,5992,0.55%,459
桃,5357,0.49%,477
イチジク,5117,0.47%,586
キウイフルーツ,4834,0.44%,631
スイカ,4238,0.39%,324
マンゴー,4171,0.38%,567
バナナ,3318,0.30%,547
グレープフルーツ,2717,0.25%,365
パイナップル,2652,0.24%,515
かぼす,2279,0.21%,366
梅,2030,0.18%,539
すだち,1802,0.16%,398
ゆず,1552,0.14%,330
オレンジ,1289,0.12%,238
アボカド,1260,0.11%,296
ドラゴンフルーツ,1076,0.10%,140
プラム,876,0.08%,87
じゃばら,824,0.08%,113
パパイヤ,661,0.06%,142
あんず,647,0.06%,155
さくらんぼ,607,0.06%,97
びわ,555,0.05%,91
ドリアン,488,0.04%,53
ライチ,342,0.03%,88
ミラクルフルーツ,183,0.02%,35
パッションフルーツ,28,0.00%,3
マンゴスチン,28,0.00%,4
