ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,2149769,27.31%,39987
その他,1259019,16.00%,30000
ビタミン,718080,9.12%,40439
植物性エキス,646580,8.21%,47625
ファイトケミカル,609060,7.74%,15097
アミノ酸,592117,7.52%,24776
ミネラル,339859,4.32%,26117
プロバイオティクス,249118,3.17%,11966
脂肪酸・オイル,188017,2.39%,10709
酵素,186162,2.37%,11011
食物繊維,184459,2.34%,8027
コラーゲン,179038,2.27%,11091
ビタミン・ミネラル混合,112287,1.43%,3190
グルコサミン・コンドロイチン,76464,0.97%,4556
プラセンタ,75246,0.96%,3994
動物性エキス,62309,0.79%,4351
クエン酸,49920,0.63%,3932
ローヤルゼリー,43566,0.55%,1433
ラクトフェリン,42827,0.54%,1007
プロポリス,23142,0.29%,2235
動植物性混合エキス,23138,0.29%,1264
オリゴ糖,21926,0.28%,2301
ヒアルロン酸,17279,0.22%,1430
ミドリムシ,14832,0.19%,772
核酸,6676,0.08%,389
