ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,14362,22.85%,1690
ナマコ,8629,13.73%,313
クエ,6494,10.33%,266
カレイ,4248,6.76%,607
アンコウ,3038,4.83%,329
ニシン,2651,4.22%,643
ハタハタ,2429,3.86%,250
ノドグロ,2108,3.35%,265
サメ,1963,3.12%,236
エイ,1920,3.05%,398
アユ,1896,3.02%,391
カワハギ,1770,2.82%,365
カンパチ,1693,2.69%,135
カジキ,1458,2.32%,96
ヒラメ,1254,2.00%,202
トビウオ,1067,1.70%,216
ハモ,975,1.55%,130
サワラ,933,1.48%,145
クラゲ,824,1.31%,223
マス,778,1.24%,125
イワナ,726,1.15%,51
アカメ・メヒカリ,479,0.76%,89
コイ,340,0.54%,81
キス,321,0.51%,99
タチウオ,126,0.20%,33
サヨリ,76,0.12%,20
スズキ,54,0.09%,12
カマス,53,0.08%,24
イサキ,48,0.08%,14
カサゴ,45,0.07%,18
コチ,30,0.05%,9
オコゼ,24,0.04%,10
メバル,24,0.04%,6
アラ,13,0.02%,6
ヤマメ,13,0.02%,3
