ジャンル名,売上指数（千円）,シェア,商品ランク入り数
カニ,3058014,51.31%,22278
魚卵,442602,7.43%,18982
サバ,400714,6.72%,4523
貝類,351359,5.90%,17282
サケ,261542,4.39%,11335
加工品,255774,4.29%,25382
エビ,231785,3.89%,9379
セット・詰め合わせ,181041,3.04%,11018
フグ,154092,2.59%,4509
マグロ,133379,2.24%,5795
イカ,88749,1.49%,10419
海藻類,74022,1.24%,10787
その他水産物,62863,1.05%,7500
ウニ,57728,0.97%,2431
ホッケ,37416,0.63%,1173
ブリ,30124,0.51%,1319
アジ,26776,0.45%,1442
タイ,21510,0.36%,2222
カツオ,18502,0.31%,1772
タコ,16476,0.28%,2177
イワシ,12610,0.21%,2790
タラ,11922,0.20%,1292
その他,11854,0.20%,1790
シシャモ,8811,0.15%,499
サンマ,7208,0.12%,670
生ちりめん・生しらす,2442,0.04%,429
