ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,304407,16.91%,30373
油,273677,15.20%,25847
砂糖・甘味料,155683,8.65%,16486
しお,134268,7.46%,20000
スパイス,108820,6.04%,28112
しょうゆ,95741,5.32%,23194
ソース・たれ,87828,4.88%,24886
酢,76257,4.24%,11046
ふりかけ,73046,4.06%,16070
みそ,72444,4.02%,18272
その他,55622,3.09%,9381
セット・詰め合わせ,46973,2.61%,3525
麹,40549,2.25%,4867
料理の素,38579,2.14%,11785
ドレッシング,31704,1.76%,10287
ポン酢,28152,1.56%,5290
めんつゆ,27800,1.54%,7710
みりん,25715,1.43%,3381
中華調味料,23416,1.30%,6382
ミックススパイス・混合調味料,19976,1.11%,6362
アジアン・エスニック調味料,11708,0.65%,2876
マヨネーズ,10993,0.61%,3040
酒粕,9661,0.54%,1900
ハーブ,9311,0.52%,3590
ケチャップ,7316,0.41%,2282
韓国調味料,7143,0.40%,3002
料理酒,6888,0.38%,1212
ラーメンスープ,4312,0.24%,1816
わさび,4063,0.23%,1596
からし・マスタード,3719,0.21%,1778
ラード,2868,0.16%,307
生わさび,1886,0.10%,371
