ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食セット,146532,50.89%,4917
ご飯,70537,24.50%,6602
菓子,22840,7.93%,3282
その他,22293,7.74%,3132
缶詰パン,20695,7.19%,2103
カンパン,4003,1.39%,667
餅,1031,0.36%,236
