ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,1735537,24.59%,103019
お茶・紅茶,1658483,23.50%,163255
水・炭酸水,1404494,19.90%,30000
炭酸飲料,797245,11.30%,29196
野菜・果実飲料,684856,9.70%,30000
スポーツドリンク,157211,2.23%,12698
乳酸菌飲料,102377,1.45%,9055
植物性ミルク,101252,1.43%,12049
お酢飲料,100780,1.43%,10340
その他,99510,1.41%,9396
甘酒,67371,0.95%,7506
希釈用ドリンク,45965,0.65%,4743
ゼリー飲料,33801,0.48%,4273
牛乳,22277,0.32%,2745
スムージー,20211,0.29%,1313
ココア・チョコレートドリンク,14209,0.20%,3050
生姜湯,5194,0.07%,523
フルーツ入り乳飲料,4309,0.06%,658
柚子茶,2538,0.04%,195
