ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,8012,29.09%,1856
山芋・自然薯,7206,26.17%,801
菊芋,3369,12.24%,428
ブロッコリー,2414,8.77%,487
れんこん,953,3.46%,312
カリフラワー,783,2.84%,157
大葉・しそ,716,2.60%,220
明日葉,633,2.30%,118
たけのこ,622,2.26%,204
ゴーヤー,622,2.26%,174
オクラ,588,2.14%,245
小松菜,376,1.36%,216
ピーマン,341,1.24%,210
セロリ,242,0.88%,113
行者にんにく,128,0.47%,120
エシャロット,110,0.40%,90
銀杏,94,0.34%,85
パセリ,85,0.31%,111
パクチー・コリアンダー,76,0.28%,108
ヤーコン,63,0.23%,80
かぶ,57,0.21%,100
水菜,19,0.07%,82
春菊,17,0.06%,79
ルッコラ,13,0.05%,78
