ジャンル名,売上指数（千円）,シェア,商品ランク入り数
非常食,126990,21.22%,12434
防災セット・非常用持ちだし袋,68936,11.52%,2555
簡易トイレ,68672,11.47%,3636
火災警報器・ガス警報器,67127,11.22%,3857
その他,55513,9.28%,4301
消火器,29713,4.96%,1858
携帯用浄水器,28060,4.69%,945
保存水,24200,4.04%,1360
懐中電灯,19602,3.28%,3800
家具転倒防止用品,18661,3.12%,3897
メガホン・拡声器,13989,2.34%,980
応急手当用品,12867,2.15%,1407
防災ラジオ,11032,1.84%,802
土嚢,8761,1.46%,562
携帯トイレ,8542,1.43%,1290
避難はしご,7238,1.21%,419
給水用品,6267,1.05%,1200
防災ヘルメット,5154,0.86%,559
簡易毛布・寝袋,4120,0.69%,895
固形燃料,4006,0.67%,541
ガソリン缶,2184,0.36%,291
担架,1751,0.29%,100
笛・ホイッスル,1577,0.26%,661
防災頭巾,1217,0.20%,321
発熱・加熱剤,966,0.16%,256
防災用ストーブ,862,0.14%,11
放射能測定器・ガイガーカウンター,447,0.07%,36
