ジャンル名,売上指数（千円）,シェア,商品ランク入り数
落花生,19433,25.97%,2497
大豆,15597,20.84%,3435
小豆,12446,16.63%,2033
その他,8997,12.02%,2563
黒豆,6143,8.21%,1402
枝豆,5157,6.89%,908
えんどう,3097,4.14%,555
ひよこ豆,2653,3.55%,829
インゲンマメ,1314,1.76%,476
