ジャンル名,売上指数（千円）,シェア,商品ランク入り数
干物・燻製・スモーク食品,51669,37.41%,7795
西京漬・漬魚,30540,22.11%,2421
その他,28406,20.56%,4958
ちりめんじゃこ・しらす干し,17593,12.74%,1787
塩辛,5587,4.04%,1552
カニミソ,1218,0.88%,284
くさや,1137,0.82%,269
あん肝,1044,0.76%,277
新巻,938,0.68%,142
