ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,109952,44.38%,2275
その他,26705,10.78%,4100
位牌,25663,10.36%,1581
具足・仏具セット,14821,5.98%,1223
りん,14072,5.68%,1515
骨壷,12505,5.05%,1454
仏像,8282,3.34%,502
掛軸,5079,2.05%,701
盆提灯,5027,2.03%,521
経机,4315,1.74%,428
香炉,3558,1.44%,674
花立,3421,1.38%,658
仏花,2626,1.06%,561
線香立,2595,1.05%,957
具足,1804,0.73%,298
仏具用お手入れ用品,1194,0.48%,419
香炉灰・香炉石,1166,0.47%,566
骨袋,1117,0.45%,360
香道具,1058,0.43%,325
経本,989,0.40%,440
木魚,733,0.30%,53
香立て,423,0.17%,189
線香着火器,414,0.17%,230
水晶玉,221,0.09%,26
