ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,99027,20.22%,12688
サラシア,67183,13.72%,1646
ブルーベリー,41647,8.50%,3449
マカ,40356,8.24%,4388
キノコ・マッシュルーム,34782,7.10%,2185
スピルリナ,31250,6.38%,1221
ウコン,27349,5.58%,4235
フォルスコリ,23955,4.89%,734
フコイダン,18101,3.70%,326
ノコギリヤシ,16671,3.40%,1707
田七人参,13196,2.69%,881
高麗人参,12884,2.63%,741
イチョウ葉,12783,2.61%,1738
クロレラ,11594,2.37%,1084
梅肉,8422,1.72%,1255
チアシード,4115,0.84%,942
プエラリア,3904,0.80%,531
トンカットアリ,3573,0.73%,513
アサイー,2933,0.60%,367
ニンニク,2671,0.55%,397
セントジョーンズワート,2568,0.52%,579
黒豆,1644,0.34%,133
ビーポーレン,1433,0.29%,203
カプサイシン,1431,0.29%,334
ゴジベリー,1360,0.28%,176
マキベリー,1202,0.25%,249
エキナセア,1166,0.24%,326
じゃばら,912,0.19%,203
ガラナ,533,0.11%,114
メシマコブ茸,446,0.09%,103
カカオ,436,0.09%,106
バジルシード,226,0.05%,177
カムカム,32,0.01%,98
